Zip,StateAb,CountyTownName,Area,AreaName,city
35004,AL,St. Clair County,13820,"Birmingham, AL",Acmar
35005,AL,Jefferson County,13820,"Birmingham, AL",Adamsville
35006,AL,Jefferson County,13820,"Birmingham, AL",Adger
35007,AL,Shelby County,13820,"Birmingham, AL",Keystone
35010,AL,Tallapoosa County,100002,Northeast Alabama nonmetropolitan area,New site
35014,AL,Talladega County,100002,Northeast Alabama nonmetropolitan area,Alpine
35016,AL,Marshall County,100002,Northeast Alabama nonmetropolitan area,Arab
35019,AL,Cullman County,100001,Northwest Alabama nonmetropolitan area,Baileyton
35020,AL,Jefferson County,13820,"Birmingham, AL",Bessemer
35022,AL,Jefferson County,13820,"Birmingham, AL",Zcta 35022
35023,AL,Jefferson County,13820,"Birmingham, AL",Hueytown
35031,AL,Blount County,13820,"Birmingham, AL",Blountsville
35033,AL,Cullman County,100001,Northwest Alabama nonmetropolitan area,Bremen
35034,AL,Bibb County,13820,"Birmingham, AL",Brent
35035,AL,Bibb County,13820,"Birmingham, AL",Brierfield
35036,AL,Jefferson County,13820,"Birmingham, AL",Brookside
35040,AL,Shelby County,13820,"Birmingham, AL",Calera
35042,AL,Bibb County,13820,"Birmingham, AL",Centreville
35043,AL,Shelby County,13820,"Birmingham, AL",Chelsea
35044,AL,Talladega County,100002,Northeast Alabama nonmetropolitan area,Coosa pines
35045,AL,Chilton County,13820,"Birmingham, AL",Clanton
35046,AL,Chilton County,13820,"Birmingham, AL",Zcta 35046
35049,AL,Blount County,13820,"Birmingham, AL",Cleveland
35051,AL,Shelby County,13820,"Birmingham, AL",Columbiana
35052,AL,St. Clair County,13820,"Birmingham, AL",Cook springs
35053,AL,Cullman County,100001,Northwest Alabama nonmetropolitan area,Crane hill
35054,AL,St. Clair County,13820,"Birmingham, AL",Cropwell
35055,AL,Cullman County,100001,Northwest Alabama nonmetropolitan area,Cullman
35057,AL,Cullman County,100001,Northwest Alabama nonmetropolitan area,Cullman
35058,AL,Cullman County,100001,Northwest Alabama nonmetropolitan area,Zcta 35058
35060,AL,Jefferson County,13820,"Birmingham, AL",Docena
35061,AL,Jefferson County,13820,"Birmingham, AL",Dolomite
35062,AL,Jefferson County,13820,"Birmingham, AL",Dora
35063,AL,Walker County,13820,"Birmingham, AL",Empire
35064,AL,Jefferson County,13820,"Birmingham, AL",Fairfield
35068,AL,Jefferson County,13820,"Birmingham, AL",Coalburg
35070,AL,Cullman County,100001,Northwest Alabama nonmetropolitan area,Garden city
35071,AL,Jefferson County,13820,"Birmingham, AL",Gardendale
35072,AL,Coosa County,100002,Northeast Alabama nonmetropolitan area,Goodwater
35073,AL,Jefferson County,13820,"Birmingham, AL",Alden
35074,AL,Bibb County,13820,"Birmingham, AL",Green pond
35077,AL,Cullman County,100001,Northwest Alabama nonmetropolitan area,Hanceville
35078,AL,Shelby County,13820,"Birmingham, AL",Harpersville
35079,AL,Blount County,13820,"Birmingham, AL",Hayden
35080,AL,Shelby County,13820,"Birmingham, AL",Helena
35082,AL,Clay County,100002,Northeast Alabama nonmetropolitan area,Hollins
35083,AL,Cullman County,100001,Northwest Alabama nonmetropolitan area,Holly pond
35085,AL,Chilton County,13820,"Birmingham, AL",Jemison
35087,AL,Cullman County,100001,Northwest Alabama nonmetropolitan area,Joppa
35089,AL,Coosa County,100002,Northeast Alabama nonmetropolitan area,Kellyton
35091,AL,Jefferson County,13820,"Birmingham, AL",Kimberly
35094,AL,Jefferson County,13820,"Birmingham, AL",Leeds
35096,AL,Talladega County,100002,Northeast Alabama nonmetropolitan area,Lincoln
35097,AL,Blount County,13820,"Birmingham, AL",Locust fork
35098,AL,Cullman County,100001,Northwest Alabama nonmetropolitan area,Logan
35111,AL,Tuscaloosa County,46220,"Tuscaloosa, AL",Mc calla
35112,AL,St. Clair County,13820,"Birmingham, AL",Margaret
35114,AL,Shelby County,13820,"Birmingham, AL",Maylene
35115,AL,Shelby County,13820,"Birmingham, AL",Montevallo
35116,AL,Jefferson County,13820,"Birmingham, AL",Morris
35117,AL,Jefferson County,13820,"Birmingham, AL",Mount olive
35118,AL,Jefferson County,13820,"Birmingham, AL",Sylvan springs
35119,AL,Jefferson County,13820,"Birmingham, AL",New castle
35120,AL,St. Clair County,13820,"Birmingham, AL",Odenville
35121,AL,Blount County,13820,"Birmingham, AL",Oneonta
35124,AL,Shelby County,13820,"Birmingham, AL",Indian springs
35125,AL,St. Clair County,13820,"Birmingham, AL",Pell city
35126,AL,Jefferson County,13820,"Birmingham, AL",Dixiana
35127,AL,Jefferson County,13820,"Birmingham, AL",Pleasant grove
35128,AL,St. Clair County,13820,"Birmingham, AL",Zcta 35128
35130,AL,Walker County,13820,"Birmingham, AL",Quinton
35131,AL,St. Clair County,13820,"Birmingham, AL",Ragland
35133,AL,Blount County,13820,"Birmingham, AL",Remlap
35135,AL,St. Clair County,13820,"Birmingham, AL",Riverside
35136,AL,Coosa County,100002,Northeast Alabama nonmetropolitan area,Rockford
35139,AL,Jefferson County,13820,"Birmingham, AL",Sayre
35143,AL,Shelby County,13820,"Birmingham, AL",Shelby
35146,AL,St. Clair County,13820,"Birmingham, AL",Springville
35147,AL,Shelby County,13820,"Birmingham, AL",Sterrett
35148,AL,Walker County,13820,"Birmingham, AL",Sumiton
35149,AL,Talladega County,100002,Northeast Alabama nonmetropolitan area,Sycamore
35150,AL,Talladega County,100002,Northeast Alabama nonmetropolitan area,Sylacauga
35151,AL,Talladega County,100002,Northeast Alabama nonmetropolitan area,Zcta 35151
35160,AL,Talladega County,100002,Northeast Alabama nonmetropolitan area,Talladega
35171,AL,Chilton County,13820,"Birmingham, AL",Thorsby
35172,AL,Blount County,13820,"Birmingham, AL",Trafford
35173,AL,Jefferson County,13820,"Birmingham, AL",Trussville
35175,AL,Marshall County,100002,Northeast Alabama nonmetropolitan area,Union grove
35176,AL,Shelby County,13820,"Birmingham, AL",Vandiver
35178,AL,Shelby County,13820,"Birmingham, AL",Vincent
35179,AL,Cullman County,100001,Northwest Alabama nonmetropolitan area,Vinemont
35180,AL,Jefferson County,13820,"Birmingham, AL",Warrior
35183,AL,Coosa County,100002,Northeast Alabama nonmetropolitan area,Weogufka
35184,AL,Bibb County,13820,"Birmingham, AL",West blocton
